wavelength_fl_nm,fluorescence_405_nm,wavelength_abs_nm,absorbance
653.1,0.0018,631,0.023
653.8,0.0018,631.8,0.022
654.5,0.0017,632.5,0.022
655.3,0.0017,633.2,0.022
656,0.0017,634,0.023
656.7,0.0017,634.7,0.022
657.5,0.00165,635.4,0.022
658.2,0.00165,636.2,0.021
658.9,0.00165,636.9,0.021
659.7,0.00165,637.6,0.021
660.4,0.00165,638.4,0.022
661.1,0.0016,639.1,0.022
661.9,0.0016,639.8,0.022
662.6,0.0016,640.6,0.022
663.3,0.0016,641.3,0.021
664.1,0.0016,642.1,0.021
664.8,0.00155,642.8,0.021
665.5,0.0015,643.5,0.021
666.3,0.00145,644.3,0.021
667,0.00145,645,0.02
667.8,0.00145,645.7,0.021
668.5,0.0015,646.5,0.021
669.3,0.0015,647.2,0.02
670.1,0.0015,647.9,0.019
670.8,0.0015,648.7,0.02
671.6,0.00145,649.4,0.02
672.4,0.00145,650.1,0.02
673.2,0.0014,650.9,0.02
673.9,0.0014,651.6,0.02
674.7,0.0014,652.3,0.021
675.5,0.00145,653.1,0.02
676.2,0.00145,653.8,0.02
677,0.0014,654.5,0.019
677.8,0.0014,655.3,0.02
678.6,0.00135,656,0.02
679.3,0.0013,656.7,0.02
680.1,0.0013,657.5,0.019
680.9,0.0013,658.2,0.019
681.6,0.00135,658.9,0.018
682.4,0.00135,659.7,0.019
683.2,0.0013,660.4,0.019
684,0.0013,661.1,0.019
684.7,0.00125,661.9,0.019
685.5,0.00125,662.6,0.019
686.3,0.00125,663.3,0.019
687.1,0.00125,664.1,0.019
687.8,0.00125,664.8,0.019
688.6,0.00125,665.5,0.019
689.4,0.0012,666.3,0.019
690.1,0.0012,667,0.018
690.9,0.0012,667.8,0.019
691.7,0.0012,668.5,0.019
692.5,0.0012,669.3,0.019
693.2,0.00125,670.1,0.018
694,0.00125,670.8,0.018
694.8,0.0012,671.6,0.018
695.5,0.00115,672.4,0.017
696.3,0.00115,673.2,0.018
697.1,0.00115,673.9,0.018
697.9,0.00115,674.7,0.018
698.6,0.00115,675.5,0.018
699.4,0.00115,676.2,0.018
700.2,0.00115,677,0.018
701,0.00115,677.8,0.018
701.7,0.0011,678.6,0.018
702.5,0.0011,679.3,0.017
703.3,0.0011,680.1,0.017
704,0.0011,680.9,0.017
704.8,0.0011,681.6,0.018
705.6,0.0011,682.4,0.018
706.4,0.0011,683.2,0.018
707.1,0.0011,684,0.018
707.9,0.00115,684.7,0.017
708.7,0.0011,685.5,0.017
709.5,0.0011,686.3,0.017
710.3,0.0011,687.1,0.017
711.1,0.0011,687.8,0.017
711.9,0.00105,688.6,0.017
712.7,0.00105,689.4,0.016
713.5,0.00105,690.1,0.016
714.3,0.0011,690.9,0.017
715.1,0.0011,691.7,0.018
715.9,0.0011,692.5,0.018
716.7,0.00105,693.2,0.018
717.5,0.001,694,0.018
718.3,0.001,694.8,0.018
719.1,0.00105,695.5,0.017
719.9,0.00105,696.3,0.017
720.7,0.00105,697.1,0.017
721.5,0.00105,697.9,0.017
722.3,0.00105,698.6,0.017
723.1,0.001,699.4,0.017
723.9,0.00105,700.2,0.017
724.7,0.001,701,0.016
725.5,0.001,701.7,0.016
726.3,0.001,702.5,0.017
727.1,0.00105,703.3,0.017
727.9,0.00105,704,0.018
728.7,0.00105,704.8,0.018
729.5,0.00105,705.6,0.017
730.3,0.00105,706.4,0.016
731.1,0.00105,707.1,0.016
731.9,0.001,707.9,0.016
732.7,0.001,708.7,0.016
733.5,0.001,709.5,0.017
734.3,0.001,710.3,0.017
735.1,0.001,711.1,0.016
735.9,0.001,711.9,0.016
736.7,0.001,712.7,0.016
737.5,0.00105,713.5,0.017
738.3,0.001,714.3,0.017
739.1,0.001,715.1,0.017
739.9,0.00095,715.9,0.016
740.7,0.00095,716.7,0.015
741.5,0.001,717.5,0.015
742.3,0.001,718.3,0.016
743.1,0.001,719.1,0.016
743.9,0.00095,719.9,0.016
744.7,0.00095,720.7,0.016
745.5,0.00095,721.5,0.016
746.3,0.00095,722.3,0.016
747.1,0.00095,723.1,0.016
747.9,0.00095,723.9,0.016
748.7,0.00095,724.7,0.016
749.5,0.001,725.5,0.016
750.3,0.001,726.3,0.016
751.1,0.00095,727.1,0.016
751.9,0.00095,727.9,0.016
752.7,0.00095,728.7,0.016
753.5,0.00095,729.5,0.017
754.3,0.00095,730.3,0.017
755.1,0.0009,731.1,0.017
755.9,0.00095,731.9,0.016
756.7,0.00095,732.7,0.016
757.5,0.00095,733.5,0.016
758.3,0.0009,734.3,0.016
759.1,0.0009,735.1,0.016
759.9,0.0009,735.9,0.016
760.7,0.0009,736.7,0.017
761.5,0.0009,737.5,0.017
762.3,0.00095,738.3,0.017
763.1,0.00095,739.1,0.016
763.8,0.00095,739.9,0.016
764.6,0.0009,740.7,0.016
765.4,0.00095,741.5,0.016
766.2,0.00095,742.3,0.016
767,0.001,743.1,0.016
767.8,0.00095,743.9,0.016
768.6,0.00095,744.7,0.017
769.4,0.00095,745.5,0.016
770.2,0.00095,746.3,0.016
771,0.00095,747.1,0.016
771.8,0.00095,747.9,0.016
772.6,0.001,748.7,0.016
773.4,0.00095,749.5,0.017
774.2,0.00095,750.3,0.017
775,0.0009,751.1,0.017
775.8,0.0009,751.9,0.017
776.6,0.0009,752.7,0.017
777.4,0.00095,753.5,0.017
778.2,0.00095,754.3,0.016
779,0.0009,755.1,0.016
779.8,0.0009,755.9,0.016
780.6,0.0009,756.7,0.016
781.4,0.0009,757.5,0.016
782.2,0.0009,758.3,0.016
783,0.0009,759.1,0.016
783.8,0.00095,759.9,0.016
784.6,0.00095,760.7,0.016
785.4,0.00095,761.5,0.015
786.2,0.001,762.3,0.015
787,0.00095,763.1,0.016
787.8,0.0009,763.8,0.016
788.6,0.0009,764.6,0.016
789.4,0.0009,765.4,0.016
790.2,0.00095,766.2,0.016
791,0.00095,767,0.017
791.8,0.00095,767.8,0.017
792.6,0.0009,768.6,0.016
793.4,0.00085,769.4,0.016
794.2,0.0009,770.2,0.016
795,0.0009,771,0.016
795.8,0.0009,771.8,0.016
796.6,0.0009,772.6,0.016
797.4,0.0009,773.4,0.017
798.2,0.0009,774.2,0.016
799,0.0009,775,0.016
799.8,0.0009,775.8,0.015
800.6,0.00095,776.6,0.016
801.4,0.00095,777.4,0.016
802.2,0.00095,778.2,0.016
803,0.0009,779,0.016
803.8,0.00085,779.8,0.016
804.6,0.00085,780.6,0.015
805.4,0.0009,781.4,0.016
806.2,0.00095,782.2,0.016
807,0.00095,783,0.016
807.8,0.0009,783.8,0.017
808.6,0.0009,784.6,0.017
809.4,0.0009,785.4,0.016
810.2,0.0009,786.2,0.015
811,0.0009,787,0.016
811.8,0.0009,787.8,0.016
812.6,0.0009,788.6,0.017
813.4,0.0009,789.4,0.017
814.2,0.00085,790.2,0.016
815,0.0009,791,0.016
815.8,0.0009,791.8,0.016
816.6,0.0009,792.6,0.016
817.4,0.0009,793.4,0.016
818.2,0.00095,794.2,0.016
819,0.00095,795,0.017
819.8,0.00095,795.8,0.016
820.6,0.0009,796.6,0.016
821.3,0.0009,797.4,0.016
822.1,0.00085,798.2,0.016
822.9,0.00085,799,0.016
823.7,0.0009,799.8,0.016
824.5,0.0009,800.6,0.016
825.3,0.0009,801.4,0.016
826.1,0.00085,802.2,0.016
826.9,0.00085,803,0.016
827.7,0.00085,803.8,0.015
828.5,0.0009,804.6,0.015
829.3,0.0009,805.4,0.015
830.1,0.00085,806.2,0.016
830.9,0.00085,807,0.017
831.7,0.00085,807.8,0.017
832.6,0.0009,808.6,0.016
833.4,0.0009,809.4,0.015
834.2,0.0009,810.2,0.015
835,0.00085,811,0.015
835.8,0.00085,811.8,0.016
836.6,0.0009,812.6,0.016
837.4,0.00085,813.4,0.016
838.2,0.00085,814.2,0.015
839,0.0008,815,0.016
839.8,0.00085,815.8,0.016
840.6,0.0009,816.6,0.016
841.4,0.0009,817.4,0.017
842.2,0.0009,818.2,0.017
843,0.00085,819,0.016
843.8,0.0008,819.8,0.016
844.6,0.00085,820.6,0.016
845.4,0.00085,821.3,0.016
846.2,0.00085,822.1,0.016
847,0.0009,822.9,0.016
847.8,0.0009,823.7,0.016
848.6,0.00085,824.5,0.016
849.4,0.00085,825.3,0.016
850.2,0.00085,826.1,0.016
851,0.00085,826.9,0.016
851.8,0.00085,827.7,0.016
852.6,0.00085,828.5,0.016
853.4,0.0009,829.3,0.016
854.2,0.0009,830.1,0.016
855,0.0009,830.9,0.016
855.8,0.00085,831.7,0.016
856.6,0.00085,832.6,0.017
857.4,0.0008,833.4,0.017
858.2,0.00085,834.2,0.016
859,0.00085,835,0.016
859.8,0.00085,835.8,0.016
860.6,0.00085,836.6,0.016
861.5,0.00085,837.4,0.016
862.3,0.00085,838.2,0.016
863.1,0.00085,839,0.016
863.9,0.00085,839.8,0.016
864.7,0.00085,840.6,0.016
865.5,0.0009,841.4,0.016
866.3,0.0009,842.2,0.016
