wavelength_nm,abs_blue_1,abs_red_40
710.3,0.01035,0.016
711,0.01035,0.016
711.8,0.01035,0.016
712.6,0.0115,0.016
713.4,0.0115,0.016
714.1,0.0115,0.017
714.9,0.0115,0.017
715.7,0.0115,0.017
716.5,0.01035,0.016
717.3,0.01035,0.015
718,0.01035,0.016
718.8,0.01035,0.016
719.6,0.0115,0.016
720.4,0.01035,0.016
721.2,0.01035,0.016
721.9,0.0092,0.016
722.7,0.01035,0.016
723.5,0.01035,0.017
724.3,0.01035,0.016
725.1,0.01035,0.016
725.8,0.0092,0.016
726.6,0.0092,0.017
727.4,0.0092,0.017
728.2,0.0092,0.017
728.9,0.0092,0.017
729.7,0.0092,0.017
730.5,0.0092,0.017
731.3,0.0092,0.018
732.1,0.0092,0.018
732.8,0.0092,0.018
733.6,0.0092,0.018
734.4,0.0092,0.018
735.2,0.0092,0.018
736,0.01035,0.018
736.7,0.01035,0.018
737.5,0.0092,0.018
738.3,0.01035,0.018
739.1,0.01035,0.018
739.8,0.01035,0.018
740.6,0.01035,0.018
741.4,0.01035,0.018
742.2,0.01035,0.018
743,0.01035,0.018
743.7,0.01035,0.018
744.5,0.0115,0.018
745.3,0.0115,0.018
746.1,0.0115,0.018
746.9,0.0115,0.018
747.6,0.01035,0.018
748.4,0.0115,0.018
749.2,0.0115,0.018
750,0.0115,0.018
750.8,0.01265,0.018
751.5,0.01265,0.018
752.3,0.01265,0.018
753.1,0.0115,0.018
753.9,0.0115,0.018
754.6,0.01035,0.018
755.4,0.0115,0.018
756.2,0.0115,0.018
757,0.01265,0.018
757.8,0.01265,0.018
758.5,0.0115,0.018
759.3,0.01265,0.019
760.1,0.0115,0.019
760.9,0.01265,0.019
761.7,0.0115,0.019
762.4,0.01265,0.019
763.2,0.01265,0.019
764,0.01265,0.019
764.8,0.0115,0.019
765.5,0.0115,0.019
766.3,0.0115,0.019
767.1,0.01265,0.019
767.9,0.01265,0.019
768.7,0.01265,0.019
769.4,0.01265,0.02
770.2,0.01265,0.02
771,0.01265,0.021
771.8,0.01265,0.02
772.6,0.0138,0.02
773.3,0.01495,0.02
774.1,0.01495,0.021
774.9,0.01495,0.021
775.7,0.0138,0.02
776.5,0.01495,0.021
777.2,0.01495,0.021
778,0.01495,0.021
778.8,0.01495,0.021
779.6,0.0138,0.021
780.3,0.0138,0.021
781.1,0.0138,0.021
781.9,0.0138,0.021
782.7,0.01495,0.021
783.5,0.0138,0.021
784.2,0.0138,0.021
785,0.0138,0.021
785.8,0.0138,0.021
786.6,0.01495,0.022
787.4,0.01495,0.022
788.1,0.0138,0.021
788.9,0.0138,0.022
789.7,0.0138,0.022
790.5,0.01495,0.022
791.2,0.01495,0.022
792,0.0138,0.022
792.8,0.0138,0.021
793.6,0.0138,0.022
794.4,0.0138,0.022
795.1,0.01265,0.022
795.9,0.01265,0.023
796.7,0.01265,0.023
797.5,0.0138,0.022
798.3,0.0138,0.022
799,0.0138,0.022
799.8,0.0138,0.022
800.6,0.0138,0.023
801.4,0.0138,0.024
802.2,0.01495,0.024
802.9,0.01495,0.024
803.7,0.01495,0.024
804.5,0.01495,0.024
805.3,0.01495,0.025
806,0.0161,0.025
806.8,0.0161,0.026
807.6,0.0161,0.025
808.4,0.0161,0.025
809.2,0.0161,0.025
809.9,0.0161,0.026
810.7,0.0161,0.026
811.5,0.01495,0.026
812.3,0.01495,0.026
813.1,0.01495,0.026
813.8,0.01495,0.026
814.6,0.0138,0.026
815.4,0.0138,0.026
816.2,0.0138,0.026
817,0.0138,0.025
817.7,0.01495,0.026
818.5,0.0138,0.026
819.3,0.01495,0.027
820.1,0.01495,0.027
820.8,0.01495,0.027
821.6,0.0138,0.027
822.4,0.01495,0.027
823.2,0.0138,0.027
824,0.0138,0.027
824.7,0.0138,0.027
825.5,0.0138,0.028
826.3,0.0138,0.029
827.1,0.0138,0.028
827.9,0.0138,0.028
828.6,0.0138,0.028
829.4,0.0138,0.029
830.2,0.0138,0.03
831,0.01265,0.03
831.8,0.01265,0.03
832.6,0.0115,0.029
833.5,0.01265,0.029
834.5,0.01265,0.03
835.4,0.0138,0.031
836.3,0.01265,0.031
837.2,0.01265,0.032
838.1,0.01265,0.032
839.1,0.01265,0.032
840,0.01265,0.031
840.9,0.01035,0.032
841.8,0.01035,0.033
842.8,0.01035,0.034
843.7,0.0115,0.035
844.6,0.0115,0.035
845.5,0.0115,0.035
846.5,0.0115,0.035
847.4,0.0115,0.035
848.3,0.01265,0.036
849.2,0.01265,0.036
850.1,0.01265,0.036
851.1,0.0115,0.037
852,0.0115,0.037
852.9,0.01265,0.037
853.8,0.01265,0.037
854.8,0.01265,0.037
855.7,0.0115,0.037
856.6,0.01265,0.039
857.5,0.01265,0.039
858.5,0.01265,0.039
859.4,0.01265,0.038
860.3,0.01265,0.038
861.2,0.01265,0.038
862.1,0.01265,0.039
863.1,0.0138,0.039
864,0.0138,0.039
864.9,0.01265,0.038
865.8,0.01265,0.038
866.8,0.01265,0.039
867.7,0.01265,0.039
868.6,0.01265,0.04
869.5,0.01265,0.04
870.5,0.01265,0.039
871.4,0.01265,0.04
872.3,0.01265,0.04
873.2,0.0138,0.04
874.1,0.0115,0.04
875.1,0.01035,0.04
876,0.01035,0.041
876.9,0.01035,0.041
877.8,0.0092,0.042
878.8,0.00805,0.043
879.7,0.0092,0.044
880.6,0.01035,0.045
881.5,0.0115,0.044
882.5,0.01035,0.044
883.4,0.01035,0.045
884.3,0.01035,0.045
885.2,0.0092,0.045
886.1,0.0092,0.046
887.1,0.0092,0.047
888,0.00805,0.047
888.9,0.0069,0.048
889.8,0.0069,0.048
890.8,0.00805,0.048
891.7,0.0069,0.049
892.6,0.00805,0.05
893.5,0.0069,0.05
894.5,0.00805,0.05
895.4,0.0069,0.05
896.3,0.00805,0.05
897.2,0.00805,0.05
898.1,0.0069,0.051
899.1,0.00575,0.051
900,0.00345,0.051
